"","V1"
"1",2
"2",34
"3",8
"4",30
"5",2
"6",30
"7",30
"8",30
"9",8
"10",30
"11",6
"12",30
"13",30
"14",6
"15",30
"16",6
"17",6
"18",6
"19",30
"20",6
"21",6
"22",6
"23",42
"24",6
"25",30
"26",6
"27",6
"28",17
"29",6
"30",38
"31",6
"32",34
"33",6
"34",30
"35",5
"36",34
"37",45
"38",6
"39",30
"40",6
"41",30
"42",30
"43",6
"44",30
"45",39
"46",30
"47",39
"48",39
"49",41
"50",41
"51",5
"52",30
"53",6
"54",30
"55",6
"56",6
"57",34
"58",30
"59",31
"60",6
"61",34
"62",6
"63",10
"64",30
"65",46
"66",6
"67",6
"68",34
"69",39
"70",6
"71",19
"72",2
"73",2
"74",30
"75",6
"76",6
"77",36
"78",34
"79",34
"80",8
"81",30
"82",4
"83",2
"84",30
"85",30
"86",10
"87",30
"88",2
"89",2
"90",30
"91",30
"92",4
"93",30
"94",30
"95",30
"96",34
"97",34
"98",2
"99",30
"100",2
"101",2
"102",2
"103",30
"104",30
"105",30
"106",30
"107",30
"108",30
"109",30
"110",30
"111",30
"112",3
"113",30
"114",30
"115",22
"116",30
"117",4
"118",19
"119",30
"120",22
"121",34
"122",30
"123",3
"124",30
"125",30
"126",4
"127",30
"128",34
"129",11
"130",30
"131",30
"132",30
"133",30
"134",30
"135",30
"136",22
"137",4
"138",4
"139",30
"140",2
"141",34
"142",30
"143",30
"144",2
"145",4
"146",30
"147",4
"148",30
"149",34
"150",30
"151",30
"152",30
"153",30
"154",30
"155",30
"156",30
"157",30
"158",22
"159",30
"160",30
"161",30
"162",30
"163",2
"164",30
"165",30
"166",22
"167",34
"168",30
"169",4
"170",30
"171",30
"172",3
"173",34
"174",30
"175",30
"176",22
"177",30
"178",30
"179",30
"180",30
"181",30
"182",30
"183",30
"184",37
"185",34
"186",11
"187",30
"188",30
"189",22
"190",30
"191",34
"192",30
"193",30
"194",34
"195",29
"196",30
"197",15
"198",30
"199",2
"200",30
"201",2
"202",30
"203",30
"204",2
"205",30
