"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0.0493096646942801,0.100591715976331,0.151873767258383,0.0621301775147929,0.0493096646942801,0.0621301775147929,0.0749506903353057,0.100591715976331,0.0621301775147929,0.0749506903353057,0.0749506903353057,0.0877712031558185,0.0493096646942801
"2",0.0620347394540943,0.0620347394540943,0.0781637717121588,0.0942928039702233,0.19106699751861,0.0620347394540943,0.0620347394540943,0.0781637717121588,0.0620347394540943,0.0620347394540943,0.0620347394540943,0.0620347394540943,0.0620347394540943
"3",0.112232030264817,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.128625472887768,0.0794451450189155,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.0794451450189155,0.0630517023959647,0.0958385876418663,0.0630517023959647
"4",0.0737833594976452,0.0533751962323391,0.203035060177917,0.0397697540554683,0.0669806384092098,0.0465724751439037,0.107796964939822,0.087388801674516,0.0465724751439037,0.032967032967033,0.0261643118785976,0.100994243851387,0.114599686028257
"5",0.0826743350107836,0.0639827462257369,0.213515456506111,0.0359453630481668,0.0733285406182602,0.0452911574406902,0.10136592379583,0.0826743350107836,0.0359453630481668,0.0639827462257369,0.0452911574406902,0.0639827462257369,0.092020129403307
"6",0.0354722997210044,0.149461937026704,0.0924671183738541,0.0872857712235951,0.0406536468712635,0.0199282582702272,0.0251096054204863,0.133917895575927,0.0613790354722997,0.0561976883220407,0.206456755679554,0.0354722997210044,0.0561976883220407
"7",0.106227106227106,0.0883699633699634,0.112179487179487,0.0586080586080586,0.0883699633699634,0.0347985347985348,0.0586080586080586,0.0764652014652015,0.0347985347985348,0.0943223443223443,0.0467032967032967,0.153846153846154,0.0467032967032967
"8",0.144454382826476,0.18515205724508,0.0746869409660107,0.0746869409660107,0.0863148479427549,0.0339892665474061,0.0456171735241503,0.0339892665474061,0.0572450805008945,0.0398032200357782,0.0514311270125224,0.0398032200357782,0.132826475849732
"9",0.0740203193033382,0.0645863570391872,0.0645863570391872,0.130624092888244,0.149492017416546,0.0645863570391872,0.0645863570391872,0.102322206095791,0.0457184325108853,0.0457184325108853,0.0645863570391872,0.0551523947750363,0.0740203193033382
"10",0.0456730769230769,0.178485576923077,0.108173076923077,0.0534855769230769,0.0847355769230769,0.0534855769230769,0.131610576923077,0.0691105769230769,0.0378605769230769,0.0378605769230769,0.0300480769230769,0.0378605769230769,0.131610576923077
"11",0.0397697540554683,0.121402407116693,0.0601779173207745,0.0669806384092098,0.0533751962323391,0.0465724751439037,0.0397697540554683,0.0737833594976452,0.0941915227629513,0.141810570381999,0.15541601255887,0.0465724751439037,0.0601779173207745
"12",0.0663856691253952,0.107481559536354,0.0663856691253952,0.0526870389884089,0.0526870389884089,0.0663856691253952,0.0526870389884089,0.0526870389884089,0.107481559536354,0.107481559536354,0.107481559536354,0.107481559536354,0.0526870389884089
"13",0.0461538461538462,0.263800904977376,0.163800904977376,0.0579185520361991,0.0638009049773756,0.0461538461538462,0.0873303167420815,0.0285067873303167,0.0402714932126697,0.0285067873303167,0.0402714932126697,0.0755656108597285,0.0579185520361991
