"","V1","V2","V3","V4","V5","V6"
"1",0.191666666666667,0.154166666666667,0.179166666666667,0.129166666666667,0.229166666666667,0.116666666666667
"2",0.134408602150538,0.247311827956989,0.150537634408602,0.182795698924731,0.134408602150538,0.150537634408602
"3",0.136612021857924,0.202185792349727,0.136612021857924,0.218579234972678,0.153005464480874,0.153005464480874
"4",0.118279569892473,0.0989247311827957,0.195698924731183,0.16989247311828,0.344086021505376,0.0731182795698925
"5",0.159420289855072,0.072463768115942,0.159420289855072,0.133333333333333,0.376811594202899,0.0985507246376812
"6",0.262152777777778,0.215277777777778,0.178819444444444,0.0486111111111111,0.225694444444444,0.0694444444444444
"7",0.196296296296296,0.112962962962963,0.146296296296296,0.0740740740740741,0.32962962962963,0.140740740740741
"8",0.153558052434457,0.170411985018727,0.220973782771536,0.0805243445692884,0.271535580524345,0.102996254681648
"9",0.116352201257862,0.286163522012579,0.163522012578616,0.182389937106918,0.144654088050314,0.106918238993711
"10",0.0858585858585859,0.131313131313131,0.320707070707071,0.0782828282828283,0.267676767676768,0.116161616161616
"11",0.297539149888143,0.170022371364653,0.0961968680089486,0.0827740492170022,0.237136465324385,0.116331096196868
"12",0.292237442922374,0.168949771689498,0.155251141552511,0.114155251141553,0.141552511415525,0.127853881278539
"13",0.106227106227106,0.188644688644689,0.254578754578755,0.0732600732600733,0.30952380952381,0.0677655677655678
"14",0.242528735632184,0.297701149425287,0.0942528735632184,0.0735632183908046,0.22183908045977,0.0701149425287356
"15",0.468588322246859,0.284552845528455,0.0805617147080562,0.0384331116038433,0.0561714708056172,0.0716925351071693
"16",0.286384976525822,0.131455399061033,0.131455399061033,0.117370892018779,0.145539906103286,0.187793427230047
"17",0.291666666666667,0.216666666666667,0.129166666666667,0.104166666666667,0.129166666666667,0.129166666666667
"18",0.361979166666667,0.151041666666667,0.135416666666667,0.0963541666666667,0.166666666666667,0.0885416666666667
"19",0.316017316017316,0.147186147186147,0.108225108225108,0.147186147186147,0.134199134199134,0.147186147186147
"20",0.220720720720721,0.166666666666667,0.126126126126126,0.207207207207207,0.126126126126126,0.153153153153153
"21",0.313492063492064,0.146825396825397,0.134920634920635,0.111111111111111,0.134920634920635,0.158730158730159
"22",0.252604166666667,0.307291666666667,0.182291666666667,0.0885416666666667,0.0885416666666667,0.0807291666666667
"23",0.139303482587065,0.154228855721393,0.154228855721393,0.154228855721393,0.228855721393035,0.169154228855721
