"","V1"
"1",3
"2",6
"3",6
"4",20
"5",27
"6",17
"7",20
"8",14
"9",29
"10",14
"11",22
"12",19
"13",22
"14",30
"15",17
"16",20
"17",19
"18",26
"19",9
"20",9
"21",13
"22",24
"23",15
"24",9
"25",9
"26",9
"27",9
"28",15
"29",9
"30",19
"31",9
"32",6
"33",9
"34",17
"35",14
"36",6
"37",22
"38",30
"39",14
"40",9
"41",24
"42",9
"43",19
"44",1
"45",5
"46",4
"47",5
"48",5
"49",4
"50",4
"51",11
"52",27
"53",9
"54",5
"55",30
"56",9
"57",6
"58",19
"59",17
"60",30
"61",30
"62",30
"63",19
"64",22
"65",6
"66",17
"67",30
"68",6
"69",29
"70",9
"71",25
"72",27
"73",4
"74",26
"75",17
"76",5
"77",24
"78",6
"79",6
"80",29
"81",21
"82",7
"83",27
"84",3
"85",15
"86",8
"87",9
"88",20
"89",20
"90",10
"91",20
"92",7
"93",7
"94",23
"95",23
"96",6
"97",6
"98",27
"99",27
"100",7
"101",27
"102",27
"103",9
"104",13
"105",3
"106",12
"107",8
"108",3
"109",3
"110",16
"111",26
"112",6
"113",1
"114",8
"115",21
"116",23
"117",6
"118",1
"119",8
"120",3
"121",7
"122",16
"123",16
"124",7
"125",7
"126",7
"127",7
"128",6
"129",6
"130",21
"131",7
"132",12
"133",11
"134",7
"135",7
"136",6
"137",7
"138",12
"139",7
"140",27
"141",6
"142",16
"143",1
"144",10
"145",21
"146",21
"147",7
"148",7
"149",6
"150",21
"151",1
"152",7
"153",1
"154",14
"155",8
"156",21
"157",6
"158",21
"159",16
"160",24
"161",21
"162",16
"163",4
"164",3
"165",10
"166",21
"167",6
"168",21
"169",21
"170",27
"171",21
"172",16
"173",6
"174",21
"175",4
"176",21
"177",12
"178",28
"179",20
"180",21
"181",13
"182",15
"183",21
"184",10
"185",6
"186",2
"187",12
"188",28
"189",21
"190",21
"191",6
"192",28
"193",28
"194",6
"195",28
"196",28
"197",15
"198",9
"199",10
"200",8
"201",22
"202",16
"203",21
"204",2
"205",20
