"","V1"
"1",3
"2",5
"3",5
"4",3
"5",3
"6",11
"7",12
"8",2
"9",5
"10",2
"11",11
"12",2
"13",2
"14",10
"15",11
"16",6
"17",10
"18",10
"19",10
"20",5
"21",10
"22",2
"23",3
"24",10
"25",10
"26",10
"27",10
"28",7
"29",10
"30",11
"31",10
"32",5
"33",10
"34",10
"35",13
"36",5
"37",2
"38",10
"39",13
"40",10
"41",13
"42",10
"43",10
"44",10
"45",8
"46",3
"47",8
"48",8
"49",1
"50",1
"51",13
"52",1
"53",10
"54",8
"55",10
"56",10
"57",5
"58",11
"59",11
"60",10
"61",3
"62",10
"63",11
"64",2
"65",3
"66",10
"67",10
"68",5
"69",5
"70",10
"71",12
"72",3
"73",3
"74",7
"75",11
"76",2
"77",4
"78",5
"79",5
"80",4
"81",5
"82",7
"83",3
"84",6
"85",4
"86",13
"87",10
"88",3
"89",3
"90",1
"91",1
"92",7
"93",3
"94",12
"95",1
"96",5
"97",5
"98",3
"99",7
"100",7
"101",3
"102",3
"103",10
"104",1
"105",6
"106",5
"107",8
"108",6
"109",6
"110",5
"111",2
"112",5
"113",5
"114",9
"115",6
"116",5
"117",5
"118",7
"119",7
"120",6
"121",5
"122",5
"123",5
"124",7
"125",7
"126",7
"127",7
"128",5
"129",5
"130",6
"131",7
"132",3
"133",7
"134",13
"135",7
"136",1
"137",7
"138",7
"139",7
"140",3
"141",5
"142",3
"143",10
"144",3
"145",7
"146",7
"147",7
"148",7
"149",5
"150",7
"151",1
"152",1
"153",13
"154",13
"155",10
"156",7
"157",5
"158",6
"159",5
"160",3
"161",6
"162",5
"163",1
"164",13
"165",6
"166",7
"167",5
"168",6
"169",7
"170",3
"171",1
"172",5
"173",5
"174",6
"175",1
"176",6
"177",12
"178",2
"179",2
"180",7
"181",1
"182",6
"183",6
"184",5
"185",5
"186",8
"187",1
"188",3
"189",6
"190",6
"191",5
"192",9
"193",9
"194",5
"195",9
"196",9
"197",6
"198",6
"199",3
"200",6
"201",1
"202",2
"203",6
"204",1
"205",4
