"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.0634920634920635,0.146825396825397,0.0873015873015873,0.0396825396825397,0.0873015873015873,0.0634920634920635,0.0396825396825397,0.0396825396825397,0.0515873015873016,0.0992063492063492,0.0515873015873016,0.0396825396825397,0.0515873015873016,0.0873015873015873,0.0515873015873016
"2",0.0490196078431373,0.0490196078431373,0.0637254901960784,0.0637254901960784,0.0637254901960784,0.0490196078431373,0.181372549019608,0.107843137254902,0.0637254901960784,0.0490196078431373,0.0637254901960784,0.0490196078431373,0.0490196078431373,0.0490196078431373,0.0490196078431373
"3",0.0546448087431694,0.103825136612022,0.103825136612022,0.0710382513661202,0.0546448087431694,0.0546448087431694,0.0874316939890711,0.0710382513661202,0.0546448087431694,0.0546448087431694,0.0710382513661202,0.0546448087431694,0.0546448087431694,0.0546448087431694,0.0546448087431694
"4",0.0368217054263566,0.158914728682171,0.0717054263565891,0.106589147286822,0.0949612403100775,0.0949612403100775,0.0717054263565891,0.0193798449612403,0.0542635658914729,0.060077519379845,0.0251937984496124,0.0310077519379845,0.0368217054263566,0.0542635658914729,0.0833333333333333
"5",0.0519125683060109,0.314207650273224,0.0519125683060109,0.0355191256830601,0.0273224043715847,0.0519125683060109,0.0355191256830601,0.0437158469945355,0.0601092896174863,0.0683060109289618,0.0437158469945355,0.0273224043715847,0.0273224043715847,0.0437158469945355,0.117486338797814
"6",0.0465465465465466,0.0690690690690691,0.100600600600601,0.0645645645645646,0.0375375375375375,0.042042042042042,0.015015015015015,0.015015015015015,0.033033033033033,0.0690690690690691,0.0285285285285285,0.0735735735735736,0.217717717717718,0.0600600600600601,0.127627627627628
"7",0.0590111642743222,0.178628389154705,0.0398724082934609,0.10207336523126,0.0159489633173844,0.0590111642743222,0.0637958532695375,0.025518341307815,0.0733652312599681,0.0590111642743222,0.0398724082934609,0.0781499202551834,0.0829346092503987,0.0446570972886762,0.0781499202551834
"8",0.0196969696969697,0.165151515151515,0.0606060606060606,0.0333333333333333,0.0242424242424242,0.110606060606061,0.0651515151515152,0.0151515151515152,0.0606060606060606,0.0333333333333333,0.0242424242424242,0.0924242424242424,0.0878787878787879,0.0196969696969697,0.187878787878788
"9",0.043010752688172,0.043010752688172,0.0268817204301075,0.0672043010752688,0.043010752688172,0.0349462365591398,0.0510752688172043,0.204301075268817,0.0994623655913979,0.0268817204301075,0.0913978494623656,0.0510752688172043,0.043010752688172,0.0913978494623656,0.0833333333333333
"10",0.0516431924882629,0.136150234741784,0.07981220657277,0.0657276995305164,0.0305164319248826,0.185446009389671,0.0305164319248826,0.0446009389671362,0.107981220657277,0.0305164319248826,0.0305164319248826,0.0657276995305164,0.0234741784037559,0.0375586854460094,0.07981220657277
