"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","público","nombrar","verso","carta","gusto","conocer","amigo","obrar","don","caso"
"2","proyecto","llamar","amor","perder","dar","haber","ver","tomar","año","consejo"
"3","establecer","fuero","querer","ser","mil","materia","decir","autor","señor","pedir"
"4","poder","libro","poeta","amar","coser","hombre","pensar","don","servir","villa"
"5","por","medir","poder","antiguo","dios","dirigir","querer","noticiar","copiar","hacer"
"6","formar","carta","dignar","dejar","hermano","poder","mandar","ver","muy","puerto"
