"","V1","V2","V3","V4","V5","V6","V7"
"1",0.199294532627866,0.137566137566138,0.112874779541446,0.162257495590829,0.137566137566138,0.149911816578483,0.100529100529101
"2",0.140659340659341,0.10989010989011,0.186813186813187,0.10989010989011,0.217582417582418,0.10989010989011,0.125274725274725
"3",0.149882903981265,0.117096018735363,0.166276346604215,0.133489461358314,0.149882903981265,0.117096018735363,0.166276346604215
"4",0.340136054421769,0.137755102040816,0.137755102040816,0.137755102040816,0.0782312925170068,0.0782312925170068,0.0901360544217687
"5",0.314769975786925,0.170702179176755,0.13680387409201,0.119854721549637,0.0690072639225182,0.0944309927360775,0.0944309927360775
"6",0.157340355497038,0.166556945358789,0.0467412771560237,0.0605661619486504,0.138907175773535,0.350888742593812,0.0789993416721527
"7",0.133708655876144,0.192821956368754,0.05981703026038,0.202674173117523,0.0893736805066854,0.217452498240676,0.104152005629838
"8",0.210204081632653,0.262585034013605,0.0482993197278912,0.100680272108844,0.105442176870748,0.16734693877551,0.105442176870748
"9",0.13680387409201,0.11138014527845,0.13680387409201,0.0774818401937046,0.306295399515739,0.0944309927360775,0.13680387409201
"10",0.334391534391534,0.134391534391534,0.0677248677248677,0.112169312169312,0.0751322751322751,0.141798941798942,0.134391534391534
"11",0.103896103896104,0.194805194805195,0.0735930735930736,0.0554112554112554,0.0917748917748918,0.388744588744589,0.0917748917748918
"12",0.155677655677656,0.117216117216117,0.0915750915750916,0.155677655677656,0.155677655677656,0.232600732600733,0.0915750915750916
"13",0.276785714285714,0.167410714285714,0.0788690476190476,0.0580357142857143,0.0997023809523809,0.250744047619048,0.0684523809523809
"14",0.122386759581882,0.15287456445993,0.0766550522648084,0.0675087108013937,0.125435540069686,0.393728222996516,0.061411149825784
"15",0.0186960690316395,0.184803451581975,0.0203739213806328,0.0639980824544583,0.13614573346117,0.525407478427613,0.050575263662512
"16",0.135238095238095,0.175238095238095,0.121904761904762,0.175238095238095,0.108571428571429,0.135238095238095,0.148571428571429
"17",0.125220458553792,0.18694885361552,0.0881834215167549,0.112874779541446,0.125220458553792,0.211640211640212,0.149911816578483
"18",0.086734693877551,0.26530612244898,0.0795918367346939,0.172448979591837,0.108163265306122,0.201020408163265,0.086734693877551
"19",0.115732368896926,0.166365280289331,0.0904159132007233,0.305605786618445,0.103074141048825,0.103074141048825,0.115732368896926
"20",0.114285714285714,0.201785714285714,0.189285714285714,0.0892857142857143,0.101785714285714,0.214285714285714,0.0892857142857143
"21",0.102728731942215,0.170144462279294,0.0914927768860353,0.113964686998395,0.125200642054575,0.293739967897271,0.102728731942215
"22",0.0784708249496982,0.22635814889336,0.0714285714285714,0.0643863179074447,0.0925553319919517,0.409456740442656,0.0573440643863179
"23",0.144897959183673,0.130612244897959,0.144897959183673,0.130612244897959,0.144897959183673,0.173469387755102,0.130612244897959
"24",0.192176870748299,0.13265306122449,0.168367346938776,0.156462585034014,0.108843537414966,0.108843537414966,0.13265306122449
"25",0.0891276864728192,0.217446270543616,0.0670037926675095,0.186472819216182,0.0758533501896334,0.266118836915297,0.0979772439949431
