"","V1"
"1",7
"2",26
"3",12
"4",11
"5",11
"6",11
"7",8
"8",8
"9",13
"10",29
"11",11
"12",11
"13",11
"14",11
"15",22
"16",8
"17",3
"18",11
"19",3
"20",3
"21",11
"22",3
"23",30
"24",3
"25",3
"26",3
"27",3
"28",2
"29",3
"30",22
"31",3
"32",26
"33",3
"34",3
"35",29
"36",26
"37",2
"38",3
"39",29
"40",11
"41",11
"42",11
"43",3
"44",11
"45",1
"46",8
"47",1
"48",1
"49",21
"50",21
"51",8
"52",11
"53",3
"54",11
"55",3
"56",3
"57",26
"58",11
"59",9
"60",3
"61",10
"62",3
"63",3
"64",2
"65",4
"66",3
"67",3
"68",26
"69",21
"70",3
"71",23
"72",19
"73",8
"74",11
"75",3
"76",3
"77",7
"78",26
"79",26
"80",13
"81",11
"82",18
"83",18
"84",11
"85",13
"86",15
"87",11
"88",18
"89",8
"90",4
"91",11
"92",18
"93",11
"94",11
"95",11
"96",26
"97",26
"98",11
"99",11
"100",11
"101",8
"102",8
"103",11
"104",11
"105",11
"106",14
"107",11
"108",11
"109",14
"110",19
"111",11
"112",19
"113",11
"114",11
"115",17
"116",11
"117",26
"118",11
"119",11
"120",14
"121",18
"122",19
"123",19
"124",11
"125",18
"126",18
"127",18
"128",26
"129",11
"130",11
"131",11
"132",11
"133",11
"134",11
"135",18
"136",3
"137",18
"138",18
"139",18
"140",19
"141",26
"142",11
"143",3
"144",19
"145",18
"146",11
"147",18
"148",18
"149",26
"150",11
"151",11
"152",11
"153",11
"154",11
"155",11
"156",17
"157",18
"158",17
"159",11
"160",11
"161",11
"162",19
"163",8
"164",11
"165",11
"166",11
"167",26
"168",17
"169",17
"170",11
"171",11
"172",19
"173",26
"174",11
"175",8
"176",14
"177",11
"178",16
"179",11
"180",11
"181",11
"182",11
"183",17
"184",13
"185",26
"186",25
"187",11
"188",11
"189",17
"190",17
"191",13
"192",20
"193",11
"194",14
"195",25
"196",11
"197",11
"198",11
"199",11
"200",11
"201",8
"202",11
"203",17
"204",8
"205",11
